state,pc_name,,candidate,sex,age,category,party,party_symbol,general_votes,postal_votes,total_votes,total_electors,,,a
Telangana,Malkajgiri,Malkajgiri,PADURI SRINIVAS REDDY,M,39,GEN,TLP,Gas Cylinder,793,9,802,3183083,,Gaya (SC),Gaya (SC)
Telangana,Malkajgiri,Malkajgiri,BANDI SUDHAKAR,M,39,GEN,JaSPa,Chappals,4088,7,4095,3183083,,Nawada,Nawada
Telangana,Malkajgiri,Malkajgiri,MURARI.T.N,M,60,GEN,SHS,Bow & Arrow,1388,2,1390,3183083,,Jamui (SC),Jamui (SC)
Telangana,Malkajgiri,Malkajgiri,SATHYANARAYANA YAADAV PEDDIBOYINA,M,40,GEN,BCBDP,Candles,593,3,596,3183083,,North Goa,North Goa
Telangana,Malkajgiri,Malkajgiri,SUTHARAPU PADMAIAH,M,60,GEN,APRSSP,Batsman,527,2,529,3183083,,South Goa,South Goa
Telangana,Malkajgiri,Malkajgiri,DR.N.V.SUDHA KIRAN,M,48,GEN,AAAP,Broom,8264,37,8301,3183083,,Kachchh,Kachchh
Telangana,Malkajgiri,Malkajgiri,SURAKANTI VENKAT REDDY,M,50,GEN,PPOI,Television,2048,1,2049,3183083,,Banaskantha,Banaskantha
Telangana,Malkajgiri,Malkajgiri,ANJANEYULU.E,M,28,GEN,IND,Bat,2675,2,2677,3183083,,Patan,Patan
Telangana,Malkajgiri,Malkajgiri,KANTE SAYANNA,M,35,GEN,IND,Stethoscope,2260,1,2261,3183083,,Mahesana,Mahesana
Telangana,Malkajgiri,Malkajgiri,KOYALKAR BHOJ RAJ,M,56,GEN,IND,Basket containing Fruits,1547,0,1547,3183083,,Sabarkantha,Sabarkantha
Telangana,Malkajgiri,Malkajgiri,GAJABINKAR BANSILAL,M,47,GEN,IND,Air Conditioner,1416,0,1416,3183083,,Gandhinagar,Gandhinagar
Telangana,Malkajgiri,Malkajgiri,DASARI BHARATH REDDY,M,28,GEN,IND,Cup & Saucer,1693,0,1693,3183083,,Ahmedabad East,Ahmedabad East
Telangana,Malkajgiri,Malkajgiri,PROF. K.NAGESHWAR,M,50,GEN,IND,Telephone,13037,202,13239,3183083,,Ahmedabad West,Ahmedabad West
Telangana,Malkajgiri,Malkajgiri,M.NAGESWARA RAO,M,60,GEN,IND,Letter Box,1264,37,1301,3183083,,Surendranagar,Surendranagar
Telangana,Malkajgiri,Malkajgiri,PEESARI SATISH REDDY,M,32,GEN,IND,Harmonium,1325,0,1325,3183083,,Rajkot,Rajkot
Telangana,Malkajgiri,Malkajgiri,POTTURI TULASI DAS,M,62,GEN,IND,Walking Stick,411,0,411,3183083,,Porbandar,Porbandar
Telangana,Malkajgiri,Malkajgiri,POLISETTY KRISHNA RAO,M,28,GEN,IND,Bottle,495,1,496,3183083,,Jamnagar,Jamnagar
Telangana,Malkajgiri,Malkajgiri,D.BIKSHAPATHI,M,40,GEN,IND,Camera,5715,2,5717,3183083,,Junagadh,Junagadh
Telangana,Malkajgiri,Malkajgiri,RAHUL PANDIT,M,48,GEN,IND,Battery Torch,897,2,899,3183083,,Amreli,Amreli
Telangana,Malkajgiri,Malkajgiri,VATTIKUTI RAMARAO GOUD,M,28,GEN,IND,Pen Nib with Seven Rays,1031,1,1032,3183083,,Bhavnagar,Bhavnagar
Telangana,Malkajgiri,Malkajgiri,M.T.VARUGHESE,M,50,GEN,IND,Gas Stove,1025,1,1026,3183083,,Anand,Anand
Telangana,Malkajgiri,Malkajgiri,B.VEERA HANUMANTHA REDDY,M,48,GEN,IND,Slate,775,0,775,3183083,,Kheda,Kheda
Telangana,Malkajgiri,Malkajgiri,None of the Above,,0,,NOTA,NOTA,8666,26,8692,3183083,,Panchmahal,Panchmahal
Telangana,Secundrabad,Secundrabad,M.ANJAN KUMAR YADAV,M,53,GEN,INC,Hand,183427,109,183536,1893741,,Dahod,Dahod
Telangana,Secundrabad,Secundrabad,KHAJA KHALID ANWAR,M,47,GEN,BSP,Elephant,2856,7,2863,1893741,,Vadodara,Vadodara
Telangana,Secundrabad,Secundrabad,BANDARU DATTATREYA,M,66,GEN,BJP,Lotus,437860,411,438271,1893741,,Chhota Udaipur,Chhota Udaipur
Telangana,Secundrabad,Secundrabad,T.BHEEMSEN,M,65,GEN,TRS,Car,143696,151,143847,1893741,,Bharuch,Bharuch
Telangana,Secundrabad,Secundrabad,ABDUS SATTAR MUJAHED,M,48,GEN,ABML(S),Balloon,807,2,809,1893741,,Bardoli,Bardoli
Telangana,Secundrabad,Secundrabad,DR.N.S.UDAY KUMAR,M,53,GEN,pjdl,Television,927,1,928,1893741,,Surat,Surat
Telangana,Secundrabad,Secundrabad,KARANKOTE NARENDER,M,52,GEN,AIFB,Lion,474,0,474,1893741,,Navsari,Navsari
Telangana,Secundrabad,Secundrabad,KUMAR CHOWDARY YADAV.G,M,55,GEN,sps,Bat,547,0,547,1893741,,Valsad,Valsad
Telangana,Secundrabad,Secundrabad,KHAJA SIRAJUDDIN AZAZ,M,49,GEN,mmsp,Iron,957,2,959,1893741,,Ambala,Ambala
Telangana,Secundrabad,Secundrabad,CHAYA RATAN MUSINIPALLY,F,61,SC,AAAP,Broom,11162,22,11184,1893741,,Kurukshetra,Kurukshetra
Telangana,Secundrabad,Secundrabad,B.DEEPAK KUMAR,M,39,SC,RPI(KH),Candles,1813,0,1813,1893741,,Sirsa,Sirsa
Telangana,Secundrabad,Secundrabad,NARLA MOHAN RAO,M,47,GEN,AIMIM,Kite,145095,25,145120,1893741,,Hisar,Hisar
Telangana,Secundrabad,Secundrabad,DR.MALATHI LATHA EPPA,F,29,GEN,JAP,Almirah,871,2,873,1893741,,Karnal,Karnal
Telangana,Secundrabad,Secundrabad,CH. MURAHARI,M,55,GEN,SUCI,Glass Tumbler,552,2,554,1893741,,Sonipat,Sonipat
Telangana,Secundrabad,Secundrabad,MOHD IMTIAZ HUSSAIN,M,35,GEN,IUML,Ladder,784,2,786,1893741,,Rohtak,Rohtak
Telangana,Secundrabad,Secundrabad,RAGHU DESHABOINA,M,45,GEN,BMUP,Cot,1494,2,1496,1893741,,Bhiwani-Mahendragarh,Bhiwani-Mahendragarh
Telangana,Secundrabad,Secundrabad,J.RAMULU,M,39,GEN,RSP,Spade & Stoker,2057,1,2058,1893741,,Gurgaon,Gurgaon
Telangana,Secundrabad,Secundrabad,SHAKTHI SATYAVATHI,F,49,ST,PPOI,Battery Torch,638,0,638,1893741,,Faridabad,Faridabad
Telangana,Secundrabad,Secundrabad,K. SRINIVASULU,M,42,GEN,JaSPa,Chappals,3688,3,3691,1893741,,Kangra,Kangra
Telangana,Secundrabad,Secundrabad,SYED SAJID ALI,M,44,GEN,YSRCP,Ceiling Fan,45161,26,45187,1893741,,Mandi,Mandi
Telangana,Secundrabad,Secundrabad,K.SAI KRISHNA MOHAN RAO,M,53,GEN,ICSP,Trumpet,2599,4,2603,1893741,,Hamirpur,Hamirpur
Telangana,Secundrabad,Secundrabad,SONU SARSAL VALMIKI,M,29,SC,TECPI,Auto- Rickshaw,2310,1,2311,1893741,,Shimla,Shimla
Telangana,Secundrabad,Secundrabad,ANANTH RAO GUNDEPALLY,M,43,GEN,IND,Pen Nib with Seven Rays,779,0,779,1893741,,Baramulla,Baramulla
Telangana,Secundrabad,Secundrabad,AVULA RANGANAYAKULU,M,60,GEN,IND,Telephone,1143,1,1144,1893741,,Srinagar,Srinagar
Telangana,Secundrabad,Secundrabad,MICHAEL DANIEL OVELZ,M,41,GEN,IND,Pot,291,0,291,1893741,,Anantnag,Anantnag
Telangana,Secundrabad,Secundrabad,MOHD ABUBAKAR PARWAIZ SIDDIQUI,M,38,GEN,IND,Gas Cylinder,322,0,322,1893741,,Ladakh,Ladakh
Telangana,Secundrabad,Secundrabad,MOHAMMED RIZWAN HUSSAIN,M,32,GEN,IND,Coconut,370,0,370,1893741,,Udhampur,Udhampur
Telangana,Secundrabad,Secundrabad,S. LAKSHMAN RAO,M,50,GEN,IND,Envelope,885,1,886,1893741,,Jammu,Jammu
Telangana,Secundrabad,Secundrabad,SYED MADANI QUADRI,M,53,GEN,IND,Bread,376,0,376,1893741,,Chikkodi,Chikkodi
Telangana,Secundrabad,Secundrabad,B.SUBRAMANYAM,M,60,GEN,IND,Camera,2480,1,2481,1893741,,Belgaum,Belgaum
Telangana,Secundrabad,Secundrabad,None of the Above,,0,,NOTA,NOTA,6567,5,6572,1893741,,Bagalkot,Bagalkot
Telangana,Hyderabad,Hyderabad,S KRISHNA REDDY,M,51,GEN,INC,Hand,49301,9,49310,1823217,,Bijapur,Bijapur
Telangana,Hyderabad,Hyderabad,DR.BHAGAVANTH RAO,M,61,GEN,BJP,Lotus,311336,78,311414,1823217,,Gulbarga,Gulbarga
Telangana,Hyderabad,Hyderabad,RASHID SHAREEF,M,53,GEN,TRS,Car,37190,5,37195,1823217,,Raichur,Raichur
Telangana,Hyderabad,Hyderabad,VENU GOPAL.P,M,30,SC,BSP,Elephant,3100,0,3100,1823217,,Bidar,Bidar
Telangana,Hyderabad,Hyderabad,ASADUDDIN OWAISI,M,43,GEN,AIMIM,Kite,513777,91,513868,1823217,,Koppal,Koppal
Telangana,Hyderabad,Hyderabad,S.KHAJA MOINUDDIN,M,45,GEN,AIACP,Batsman,1592,1,1593,1823217,,Bellary,Bellary
Telangana,Hyderabad,Hyderabad,JAYA VINDHYALA,F,49,GEN,SP(I),Battery Torch,598,0,598,1823217,,Haveri,Haveri
Telangana,Hyderabad,Hyderabad,BINGHI RAJASHEKAR,M,38,GEN,PPOI,Television,21796,0,21796,1823217,,Dharwad,Dharwad
Telangana,Hyderabad,Hyderabad,BODDU SAINATH REDDY,M,36,GEN,YSRCP,Ceiling Fan,10735,8,10743,1823217,,Uttara Kannada,Uttara Kannada
Telangana,Hyderabad,Hyderabad,N.MAHENDER SINGH,M,49,GEN,NBNP,Dao,485,0,485,1823217,,Davanagere,Davanagere
Telangana,Hyderabad,Hyderabad,LUBNA SARWATH,F,49,GEN,AAAP,Broom,6118,0,6118,1823217,,Shimoga,Shimoga
Telangana,Hyderabad,Hyderabad,SYED MUSTAFA MAHMOOD,M,45,GEN,MBT,Bat,2101,1,2102,1823217,,Udupi Chikmagalur,Udupi Chikmagalur
Telangana,Hyderabad,Hyderabad,MD OSMAN,M,52,GEN,IND,BELT,728,0,728,1823217,,Hassan,Hassan
Telangana,Hyderabad,Hyderabad,SHAIK MOIN,M,46,GEN,IND,Candles,626,0,626,1823217,,Dakshina Kannada,Dakshina Kannada
Telangana,Hyderabad,Hyderabad,SYED ABDUL GAFFER,M,56,GEN,IND,Gas Cylinder,740,0,740,1823217,,Chitradurga,Chitradurga
Telangana,Hyderabad,Hyderabad,M A HABEEB,M,37,GEN,IND,Carrom Board,5992,0,5992,1823217,,Tumkur,Tumkur
Telangana,Hyderabad,Hyderabad,None of the Above,,0,,NOTA,NOTA,5011,2,5013,1823217,,Mandya,Mandya
Andhra Pradesh,CHELVELLA,#N/A,KONDA VISHWESHWAR REDDY,M,54,GEN,TRS,Car,431084,3993,435077,2185164,,Mysore,Mysore
Andhra Pradesh,CHELVELLA,#N/A,TULLA VEERENDER,M,31,GEN,TDP,Bicycle,352227,976,353203,2185164,,Chamarajanagar,Chamarajanagar
Andhra Pradesh,CHELVELLA,#N/A,PATLOLLA KARTIK REDDY,M,34,GEN,INC,Hand,360834,1220,362054,2185164,,Bangalore Rural,Bangalore Rural
Andhra Pradesh,CHELVELLA,#N/A,SAMALA RAVINDAR,M,46,GEN,BSP,Elephant,7713,19,7732,2185164,,Bangalore North,Bangalore North
Andhra Pradesh,CHELVELLA,#N/A,KUMMARI GIRI,M,33,GEN,PPOI,Television,5787,2,5789,2185164,,Bangalore central,Bangalore central
Andhra Pradesh,CHELVELLA,#N/A,KONDA RAGHAVA REDDY,M,54,GEN,YSRCP,Ceiling Fan,40069,66,40135,2185164,,Bangalore South,Bangalore South
Andhra Pradesh,CHELVELLA,#N/A,DR.GOLLA RAMAIAH,M,73,GEN,TLP,Gas Cylinder,1737,28,1765,2185164,,Chikkballapur,Chikkballapur
Andhra Pradesh,CHELVELLA,#N/A,CHAN PASHA,M,37,GEN,ABML(S),Kite,56832,3,56835,2185164,,Kolar,Kolar
Andhra Pradesh,CHELVELLA,#N/A,MD YUNUS MIYA,M,70,GEN,MCPI,Carrom Board,2901,3,2904,2185164,,Kasaragod,Kasaragod
Andhra Pradesh,CHELVELLA,#N/A,REGATTE VENKAT REDDY,M,54,GEN,AAAP,Broom,7433,29,7462,2185164,,Kannur,Kannur
Andhra Pradesh,CHELVELLA,#N/A,SYED HASHMATHULLAH QUADRI,M,45,GEN,IUML,Ladder,1399,12,1411,2185164,,Vadakara,Vadakara
